Column1 Column2 Column3 Column4 Column5 Column6 Column7 Column8 Column9 Column10 Column11 Column12
1.1978496e11 1.02816e11 8.4456e10 2.2693824e11 1.2672288e11 3.239568e10 2.6446176e10 1.2829536e10 6.829056e9 5.8895424e10 1.3843008e11 5.001696e10
7.778592e10 6.18624e10 1.9810656e11 2.3295168e11 1.4442624e11 5.959872e10 3.4582464e10 1.06337664e11 9.874656e10 3.7437984e10 4.163616e10 6.403968e10
1.1874816e11 2.59632e10 9.904896e10 1.9909152e11 5.363712e10 3.0672e10 1.596672e10 1.841184e10 6.96168e10 5.1389856e10 6.839424e10 1.407888e11
1.1925792e11 6.9552e10 2.1869568e11 1.6898976e11 1.3123296e11 3.5329824e10 9.33984e10 3.4153056e10 1.6834176e10 1.2917664e10 9.8712e10 9.3312e10
7.55136e10 4.02192e10 6.1373376e11 1.8962208e11 5.449248e10 3.1062528e10 1.6755552e10 1.6537824e10 1.2780288e10 2.6661312e10 7.91856e10 1.0066464e11
2.6642304e11 1.2151296e11 1.06488e11 2.3560416e11 1.47528e11 5.544288e10 3.4897824e10 5.416848e10 3.8293344e10 8.6249664e10 1.3570848e11 1.1215584e11
1.0239264e11 1.4403744e11 1.694304e11 1.3190688e11 7.206624e10 4.0360896e10 3.9150432e10 2.8981152e10 4.3703712e10 2.636496e10 3.6418464e10 1.239408e11
5.355072e10 2.0837088e11 2.2457952e11 1.9359648e11 5.820768e10 2.7006912e10 1.8439488e10 1.4580864e10 7.934976e9 1.6474752e10 3.3254496e10 3.063744e10
2.54016e10 3.431808e10 1.4311296e11 5.23584e11 1.1303712e11 7.782048e10 3.9941856e10 1.868832e10 3.9038112e10 2.339712e10 6.3168768e10 1.1036736e11
9.870336e10 4.859136e10 1.1518848e11 2.1203424e11 3.814128e10 4.560192e10 2.521584e10 2.05848e10 1.2492576e10 8.495712e9 1.9338048e10 6.4809504e10
5.4249696e10 6.372e10 2.3484384e11 1.7825184e11 1.5544224e11 7.345728e10 4.9613472e10 5.30928e10 2.8512864e10 9.461664e10 1.0695456e11 1.3309056e11
2.1636288e11 1.3611456e11 2.2470048e11 1.8851616e11 2.4397632e11 9.515232e10 2.8077408e10 1.9332e10 1.1192256e10 4.0804992e10 1.2589344e11 3.4809696e10
4.863456e10 4.320864e10 2.1588768e11 1.9249056e11 1.7800128e11 7.484832e10 2.9382912e10 1.3830048e10 1.4109984e10 2.6018496e10 2.634336e10 6.54048e10
